address,allocation
0xd619fb133f4796138593f63b2da47639177dd466,1209.529512
0xbace5bafae8e3795f8e3fe3be01daea8f4755e55,1019.597707
0xf8e74b08fcd96f31ef0cf181199538f439e5544c,850.5623779
0x87e060496f051fe0191067c4c30bb95a4692d8bf,831.3384766
0x1dd050434e398d71a335620d1426fa720bfd1ef4,817.3344375
0x471d671a8567a5f2672d0825fddc6259d114be47,1109.8
0x6568140cdda503bee44d5a234d78a47c0b1042fa,800
0xe2334c419ad09d9fb55e6388cab5478ee56006b2,749.9074649
0x27b31ea022ab51eef37244b4ff7b8ac3391a29a7,746.25
0xd34f39bf9ce95fb6962ce91b53183b836efb6fef,735.7714014
0xb4befa2f29883f715274021c82ffb78e934e0b49,721.3959023
0x8d1edafbaee27e886a1dbd110d93f92be57c8d63,719
0x346da4ec64b8d4237b638c73d20588169c297285,1055.8
0x4b9874e24cb9a0f7da9c02d53cfa875796446fbd,703.043884
0x8ad1cf445268d34e6fbf4200cc064ffadccd5beb,700.2971338
0x37e739fb0de5624a392ce622b04366039b647214,693.8095117
0xa9878931928a95b55a7b9af2068864559ad1b60e,686.4696816
0x01704b06b33c767499e7cbf1bf832e94d5255322,655.7828027
0x01872af835c893e7ef50e7e44ac711dba84f6d9a,655.7828027
0x02251f071bbd4e3daa432bffd03f9d37528e5f68,655.7828027
0x047d58665ca4184ba523377588e7d13eae579ef6,655.7828027
0x073f1df062223ba176caf63af42f9c79a4e7dda3,655.7828027
0x08ef7cc21910fd185f01a46d204217fc79434a86,655.7828027
0x0c52f4950386a0d54811def8b42b6238e7d3bb77,655.7828027
0x0df8a1c5c2f91dc73abe7f31034c915d9a250858,655.7828027
0x160399d669c02d6137d6788c9f1ded6fca237430,655.7828027
0x18a3492d8b63f4bcc911320eb7ed498f75c27d80,655.7828027
0x210f898f09f73bfa7cac694f3a90dd9439a9b73b,655.7828027
0x2b458723e1027f0b8e770e49fb3737e50fc6290f,655.7828027
0x38c5fc8d8f808cc5366b687d530b08af657f8184,655.7828027
0x763aa589bf569a8c74449c91af44db6a108d734e,821.8742676
0x4220d1a91f32d3f6f4c21e51b5f25b727295c475,641.5578125
0x45cca26fcdb6bc629a7d597041a95b26f173e585,636.4323779
0x59dd5cc35c15154cc1016d1d37b649ff38ee0a72,632.88
0xeb08dffb29b117ba699c8524a0e60cc116da7bc4,803.3425781
0x8da6662ab9e560bb9b39796df189d26527059670,797.9496816
0x8ac1a58ac68e7c28c37caf3308e4be8595fe9279,1060.846486
0x493b8281eb625d7ba65ba87cf5af22d95e78b62a,616.1881163
0x3119c064f36eedca68d0f61d2fcd5cb6e34a07eb,612.1009131
0xe0b3aa96f83b12d264ebc200a6ce91460769adac,606.7314014
0x2b91b4f5223a0a1f5c7e1d139dddd6b5b57c7a51,602
0x2a3c7f348adfdb1b2b44b97055751d7e28e48f67,600
0x911fe42c8d629000a779f98532716de3a407f0f7,600
0x49634184038c45f937dc7e13add22d1a20a02728,600
0x64b3bec5dedea219b9b2f7642ae3ce29e3511403,600
0x38321a377d38748d0bf7cd2106b0dac67016ad4e,600
0xb02279b2679c7d02ea29203ed42ae088f69ee390,600
0x2b9eb9450d2aa20dc083aecf0ef05b2da5ff9904,600
0xfb59b257af5518787e32d8dd1a8cf0de13393385,600
0x7fddb66d530c6467fce377e9343df06100efb159,600
0x56e5d6a40079585ae8adbe8470fa66ad7e9daf05,600
0x7b46df7ee53c4de423eb003b791c68e034c3cebc,600
0x817cfa10e43ff1ea90108ef5ef61a1662d96f7d4,600
0x381e217f49f92947a72373f896fbe4cb3a5d0979,600
0xb35c6fa9d7303752c2b6e08889df6f86f4dabf07,600
0x57cc828becb6ccb123d081896fbfe76f52929b82,600
0x49c7e864dc2f3df247646c82b3a16de16358d398,600
0x8497c50e5bb7ec18e19dfe3334e47f95d2415981,600
0x8a7e789f84beaefd811d0e27cc4aea08fddac82e,600
0xcbfc9ff608ba1240ff85f63cd5b15cafc305eb3a,600
0x140d2d1c2ee883d0413a467b3cd3a8a66755e009,600
